Consumer name,Email_id,order_id,order_status,cart(pizza name, size, price, quantity), total_amount,payment_mode,
sample,sample@gmail.com,ABCDE7517,placed,"[('Margherita', 'Small', 199, 5)]",995,offline
sample,sample@gmail.com,ABCDE7518,Cancelled,"[('Pepperoni', 'Large', 449, 2), ('Meat Lovers', 'Medium', 449, 2)]",1796,offline
sample,sample@gmail.com,ABCDE7519,placed,"[('Margherita', 'Small', 199, 1)]",199,online
sample,sample@gmail.com,ABCDE7520,placed,"[('Margherita', 'Small', 199, 3)]",597,offline
sample,sample@gmail.com,ABCDE7521,placed,"[('Margherita', 'Small', 199, 1)]",199,offline
Kartik Nityanand Khanadait,kartik99@gmail.com,ABCDE7522,placed,"[('Margherita', 'Medium', 299, 2), ('Veggie', 'Medium', 299, 3)]",1495,online
aditya,aditya@gmail.com,ABCDE7523,placed,"[('Margherita', 'Small', 199, 2), ('Margherita', 'Medium', 299, 1)]",697,offline
sample,sample@gmail.com,ABCDE7524,placed,"[('Margherita', 'Small', 199, 1)]",199,online
sample,sample@gmail.com,ABCDE7525,Cancelled,"[('Four Cheese', 'Large', 449, 12)]",5388,online
sample,sample@gmail.com,ABCDE7526,Cancelled,"[('Margherita', 'Small', 199, 1)]",199,online
